Knysna_2020,Knysna_2021,Knysna_2022,Max_2014/15,Min_2014/15,Best_2014/15,Knysna_2014/15,Plettenberg_2014/15,Tsitsikamma_2014/15
6,2,2,2,2,2,2,2,3
4,4,3,5,5,5,5,1,3
4,4,4,5,5,5,5,3,7
4,3,4,1,1,1,1,1,1
3,8,,3,3,3,3,1,2
6,8,,5,5,5,5,2,12
8,6,,6,6,6,6,1,2
6,10,,5,5,5,5,3,1
1,6,,5,5,5,5,9,4
4,10,,3,3,3,3,9,3
6,8,,1,1,1,1,4,1
6,8,,5,4,5,5,1,1
5,8,,5,4,5,5,4,10
5,8,,2,2,2,2,2,2
4,4,,14,10,12,12,2,4
1,8,,5,5,5,5,4,2
4,8,,1,1,1,1,3,
4,8,,2,2,2,2,6,
6,8,,3,3,3,3,6,
4,1,,2,2,2,2,2,
,10,,1,1,1,1,4,
,10,,3,3,3,3,6,
,6,,3,3,3,3,6,
,6,,15,12,12,12,5,
,8,,12,10,12,12,5,
,4,,12,10,12,12,2,
,12,,8,5,6,6,8,
,4,,8,5,7,7,10,
,6,,8,5,6,6,2,
,6,,2,2,2,2,4,
,5,,6,5,5,5,5,
,5,,3,3,3,3,6,
,5,,5,3,4,4,2,
,5,,3,3,3,3,4,
,4,,3,3,3,3,2,
,4,,1,1,1,1,1,
,8,,3,1,2,2,1,
,2,,4,4,4,4,5,
,8,,2,2,2,2,,
,8,,3,3,3,3,,
,5,,8,4,6,6,,
,8,,3,3,3,3,,
,5,,1,1,1,1,,
,1,,2,2,2,2,,
,8,,2,2,2,,,
,8,,1,1,1,,,
,3,,3,3,3,,,
,5,,1,1,1,,,
,5,,1,1,1,,,
,,,2,2,2,,,
,,,1,1,1,,,
,,,3,3,3,,,
,,,10,8,9,,,
,,,9,9,9,,,
,,,4,4,4,,,
,,,1,1,1,,,
,,,5,4,4,,,
,,,2,2,2,,,
,,,2,2,2,,,
,,,4,4,4,,,
,,,3,3,3,,,
,,,7,5,6,,,
,,,7,3,6,,,
,,,3,2,2,,,
,,,5,4,4,,,
,,,6,6,6,,,
,,,6,6,6,,,
,,,6,4,5,,,
,,,5,5,5,,,
,,,2,2,2,,,
,,,8,8,8,,,
,,,12,10,10,,,
,,,2,2,2,,,
,,,4,4,4,,,
,,,6,4,5,,,
,,,8,6,6,,,
,,,2,2,2,,,
,,,4,4,4,,,
,,,3,2,2,,,
,,,1,1,1,,,
,,,1,1,1,,,
,,,6,5,5,,,
,,,3,3,3,,,
,,,3,3,3,,,
,,,8,6,7,,,
,,,1,1,1,,,
,,,2,2,2,,,
,,,15,10,12,,,
,,,2,2,2,,,
,,,1,1,1,,,
,,,5,4,4,,,
,,,4,3,3,,,
,,,1,1,1,,,
,,,1,1,1,,,
,,,12,9,10,,,
,,,2,2,2,,,
,,,5,3,4,,,
,,,2,2,2,,,
