date,CumNew,CumAll,NewIDs,OldIDs
2014/03/02,0,0,2,0
2014/03/26,2,2,0,0
2014/03/27,2,2,5,0
2014/03/28,7,7,0,0
2014/04/04,7,7,0,0
2014/04/05,7,7,0,0
2014/04/06,7,7,0,0
2014/04/07,7,7,0,0
2014/04/08,7,7,0,0
2014/04/09,7,7,0,0
2014/04/10,7,7,0,0
2014/04/11,7,7,0,0
2014/04/12,7,7,0,0
2014/04/15,7,7,0,0
2014/04/16,7,7,0,0
2014/04/17,7,7,0,0
2014/04/24,7,7,6,0
2014/04/25,13,16,0,3
2014/05/01,13,16,6,0
2014/05/25,19,22,0,0
2014/05/26,19,23,0,1
2014/05/27,19,23,0,0
2014/05/28,19,23,0,0
2014/06/07,19,23,2,0
2014/06/11,21,26,3,1
2014/06/12,24,36,0,7
2014/06/24,24,36,1,0
2014/06/28,25,38,0,1
2014/07/07,25,38,0,0
2014/07/08,25,38,2,0
2014/07/11,27,44,1,4
2014/07/13,28,45,0,0
2014/07/28,28,49,0,4
2014/07/29,28,49,2,0
2014/08/09,30,51,0,0
2014/08/11,30,51,0,0
2014/08/12,30,51,0,0
2014/08/15,30,51,0,0
2014/08/16,30,51,0,0
2014/08/21,30,51,0,0
2014/09/03,30,51,0,0
2014/09/04,30,51,0,0
2014/09/15,30,52,2,1
2014/09/16,32,61,0,7
2014/09/22,32,61,0,0
2014/09/26,32,61,0,0
2014/10/03,32,61,0,0
2014/10/04,32,61,1,0
2014/10/06,33,62,0,0
2014/10/12,33,62,0,0
2014/10/15,33,62,1,0
2014/10/24,34,66,0,3
2014/11/05,34,66,0,0
2014/11/06,34,66,0,0
2014/11/09,34,66,0,0
2014/11/28,34,66,0,0
2014/11/29,34,66,0,0
2014/11/30,34,66,0,0
2014/12/01,34,66,0,0
2014/12/05,34,66,0,0
2014/12/08,34,67,0,1
2014/12/10,34,67,0,0
2014/12/14,34,67,5,0
2015/01/22,39,77,2,5
2015/01/23,41,86,11,7
2015/01/24,52,106,0,9
2015/01/25,52,106,2,0
2015/01/26,54,116,1,8
2015/02/09,55,117,0,0
2015/02/10,55,117,0,0
2015/02/18,55,117,2,0
2015/02/20,57,128,0,9
2015/02/23,57,131,0,3
2015/02/24,57,131,0,0
2015/02/26,57,133,0,2
2015/02/27,57,133,0,0
2015/03/12,57,133,0,0
2015/03/13,57,137,0,4
2015/03/16,57,137,0,0
2015/03/18,57,139,0,2
2015/03/19,57,142,1,3
2015/03/20,58,146,0,3
2015/03/24,58,148,0,2
2015/03/25,58,148,0,0
2015/04/02,58,148,1,0
2015/04/10,59,149,0,0
2015/04/11,59,155,0,6
2015/04/20,59,155,0,0
2015/04/21,59,155,0,0
2015/04/28,59,155,0,0
2015/04/29,59,155,0,0
2015/05/09,59,155,0,0
2015/05/10,59,156,0,1
2015/05/11,59,156,1,0
2015/05/12,60,162,3,5
2015/05/20,63,172,2,7
2015/06/07,65,175,0,1
2015/06/08,65,177,0,2
2015/06/10,65,178,0,1
2015/06/12,65,178,0,0
2015/06/18,65,179,0,1
